subject,L23,L30,L31,L32,L36,L37,L38,L39,L40,L41,L44,L45,L47,L48,L49,L50,L51,L52,L55,L56,L57,L58,L59,L60,L61,L62,L75,L76,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,L112,L113,L114,L115,L116,L117,L118,L119,L120,L121,L122,L123,L124,L125,L128,L129,L132,L133,L134,L135,L136,L137,L138,L139,L140,L141,L142,L143,L144,L145,L146,L147,L148,L149,L150,L151,L152,L153,L154,L155,L156,L157,L160,L161,L162,L163,L164,L165,L166,L167,L168,L169,L170,L171,L172,L173,L174,L175,L176,L177,L178,L179,L180,L181,L182,L183,L184,L185,L186,L187,L190,L191,L192,L193,L194,L195,L196,L197,L198,L199,L200,L201,L202,L203,L204,L205,L206,L207
sub-wrap0002_ses-200809,0.313,0.327,0.864,0.961,2.814,2.861,53.494,52.83,5.873,8.553,122.851,137.617,3.203,3.02,0.147,0.195,16.366,14.120000000000001,1.022,1.2550000000000001,3.686,3.634,5.969,6.496,4.218,4.463,0.203,0.437,4.611,3.573,3.5660000000000003,3.988,1.938,2.104,12.856,10.746,3.971,3.133,4.358,3.368,5.227,4.117,2.464,1.7850000000000001,1.6500000000000001,1.617,3.451,3.823,7.66,9.364,1.627,1.932,6.869,7.207,10.379,7.416,9.012,10.462,2.158,1.5190000000000001,5.441,5.057,1.311,1.231,19.714,20.084,5.774,4.833,4.195,3.9530000000000003,0.5730000000000001,0.903,2.945,2.391,6.549,7.7250000000000005,17.647000000000002,13.699,4.352,2.496,5.288,2.509,3.718,2.132,2.025,1.3820000000000001,3.748,3.367,9.891,10.168000000000001,3.079,3.218,2.258,1.559,2.543,2.007,12.809000000000001,12.917,2.342,2.467,2.142,1.927,14.476,14.459,2.721,2.081,1.352,1.558,13.965,13.255,4.984,5.892,9.214,12.081,5.105,5.92,12.837,13.122,7.444,8.074,6.148,7.15,2.859,4.121,1.216,1.183
sub-wrap0002_ses-221113,0.2513883917331695,0.24363632678985594,0.790710624217987,0.9025618469715118,2.7287268600463865,2.6966111624240874,50.54900061964988,49.381761126756665,9.83404809951782,10.022312533855438,128.7230383837223,116.3485278584957,3.276908595323562,2.8217516393661497,0.19158674788475036,0.2668925216197967,15.477551378250121,17.495303139209746,1.0099833183288573,1.143983298063278,3.51168541932106,3.5294044249057768,5.892676794767379,6.446395719289779,4.049900213956833,4.444148088216782,0.23477682399749752,0.3698842415809631,3.4009416344165797,4.441933212518691,3.7785779409408566,3.495073851585388,2.124065794467926,1.8527435214519499,12.125337009191512,11.590444528102873,3.8450242118835445,3.7830076923370357,3.3034871037006375,4.217123329162598,4.075371284484863,4.966858752965926,1.8062311317920683,2.2414542064666745,1.4883964691162108,1.8438840186595915,3.5305118627548215,3.8771399095058436,6.93588324856758,6.758693192720413,1.4906113448143004,1.996710441827774,8.604792087078094,6.690032046079635,12.24494029688835,8.423172279834747,8.049965724706649,8.615866465568542,2.0764459669589996,1.93580136013031,4.517238986253738,5.027767834663391,1.0354543888568877,1.3588262407779692,21.87521983218193,18.174162540674207,5.104181046247482,6.124131305217742,3.780792816638946,3.7686110002994533,0.5315701675415039,0.6257023847103118,2.703255789518356,2.1273881080150603,7.673436856031417,5.9923462011814115,13.129783138275146,16.69794788789749,3.0831069717407225,2.7453384277820585,3.570379625320434,3.5294044249057768,2.73869380068779,2.7663797469139095,1.1384461088180542,1.9557352414131164,3.361073871850967,3.533834176301956,9.01454409122467,9.981337333440779,3.2104623243808743,3.1883135673999785,1.8228426995277403,2.0974872860908507,1.5714543077945708,1.9745616848468779,12.00241140794754,12.40662622284889,2.006677382469177,2.554859117746353,1.7774377477169034,2.250313709259033,13.798675599098205,14.687948191881178,1.8272724509239195,2.6966111624240874,1.3300328567028044,1.3532890515327451,13.457584741592406,12.890576562881469,5.72213136601448,5.591453699827194,8.688957363605498,9.855089418649673,5.513933050394058,5.252577718019485,12.623684041261672,11.131965258598326,8.491833426475525,7.200560894489287,6.131883370161056,6.334544496536254,3.1816689403057095,3.9502308075428005,1.1860659363269805,1.227041136741638
sub-wrap0002_ses-231214,0.31862245452404026,0.2800349600315094,0.862154876947403,0.8522323783636093,2.749634607553482,2.826809596538544,49.900245377898216,48.73380054438114,10.367908520221711,10.743860966563226,116.21120091354847,121.76559512078762,3.2656045339107513,2.905087085366249,0.20726997041702272,0.26018996286392215,19.352179737925532,17.17474254870415,0.6427574082612991,1.1664448335170747,3.4497220076322557,3.369239519119263,6.003111643195153,6.404421585917473,4.114529412746429,4.335029381275177,0.16978497576713564,0.3649274479150772,4.066019419670105,3.305294528245926,3.448619507789612,3.809136956334114,1.8367647378444671,1.981192217230797,11.09004591715336,9.263203677892685,2.9756470752954485,3.5125644986629485,4.020816926121712,3.3416770230531694,5.008656785130501,3.8918244445323946,2.308634670495987,1.5953172723054887,1.711079755783081,1.5148347837924958,3.040694566011429,3.490514501810074,7.327213954210282,8.057068850040435,1.606342270731926,1.8599172345399857,6.719736540913582,7.879566375374794,8.854176236271858,7.401081443667412,6.6436640517711645,10.402086015343667,2.0252922109365463,1.2755923179388047,6.56869406247139,5.6833866888284685,1.1080123418569565,1.089269844532013,19.890199661135675,19.663084693551063,5.226951753973961,4.935891795516015,3.537921995043755,3.8168544552326202,0.5049449279308319,0.8180548832416534,2.733097109913826,2.2689446761608125,6.3790640895366675,7.261063963651657,15.958685222268105,13.5563380651474,2.9491870790719985,1.6802097601890564,3.871979447364807,2.7529421070814135,3.5908419874906543,2.0738022040128707,1.8731472326517107,1.26236231982708,4.394564372777939,4.236906895279884,9.618208627223968,9.819966098427773,3.129997053265572,3.085897059559822,2.156489692211151,1.6592622631788254,2.36265716278553,1.5842922738790512,11.850770808577538,12.062450778365136,2.1950771867036822,2.211614684343338,1.9547322210073472,1.6702872616052629,14.292807960033418,14.335805453896523,2.526929639339447,2.03521470952034,1.1113198413848877,1.4211222971677782,13.737148039340973,12.739385681748391,5.041731780409813,6.560976563572884,8.979861218333244,10.988615931630134,5.321766740441323,5.876324161291123,11.941175795674324,12.451633222818375,6.402216586232186,7.825543883085251,5.856479164123535,6.7340690388679505,2.8841395883560184,3.7562169638872147,1.156522334933281,1.042964851140976
sub-wrap0012_ses-090416,0.5767977426052093,0.4993919849395752,1.3670855587720872,1.5431212334632873,3.4083502972126007,3.586882931828499,58.034342569828034,56.94816500258446,13.923048540115357,13.263851119995117,221.857386269331,217.5438879994154,4.599400181293488,4.402140347242355,0.6142521414756775,0.4419619066715241,21.352752796053885,16.31513614797592,1.6042967516183853,1.6792055493593216,5.098792166233062,5.090052806496621,7.73558184671402,8.371058147549629,5.349736638665199,5.328512479305267,0.5355979038476943,0.7191244583129883,6.598216601014137,6.558265242218972,5.429639356255532,5.209906882882119,1.812792905330658,2.5056992844343187,12.535987301945687,10.001572978377343,2.6717471194267275,3.601864691376686,4.658078739523888,5.080064966797829,4.945229130864143,6.244896771669388,2.6043292014598847,2.3683664885759352,1.5281394739151002,2.3284151297807694,3.558167892694473,4.262310591459275,8.277422150373459,9.642010749220848,1.8402594645023347,2.4707418454885484,7.800502804756165,8.126356074929237,14.32006516814232,13.266348079919815,9.297430279612541,9.744386106133462,2.7404135173559188,2.8215647149086,5.698062548160553,5.932776781082153,2.2023186535835264,2.1436400953531267,20.775955053448676,23.03195834541321,6.537041082859039,4.742975376963615,5.242367361903191,4.968950250148773,0.8439724545478821,1.0961654069423676,4.017608518838882,2.978873190164566,8.006501998543738,7.132566024899483,16.036725116372107,16.087912794828416,2.181094494223595,2.01005273938179,4.4782976249456405,3.0063397493362425,3.6330766904354097,5.045107527852059,1.2647102018594742,2.051252578139305,4.688042258620262,5.277324800848961,12.217624911546707,12.987937048316002,3.9576814806461336,3.9127362020015717,3.281005341053009,3.142424065232277,3.70299156832695,3.0263154287338256,12.804410493850709,11.198865262269974,3.7928821256160736,3.7167248479127886,2.3021970505714417,1.871471463561058,14.261386609911918,13.642140548586845,2.39833000767231,3.0924848667383196,1.4931820349693299,1.6604783499240876,14.879384191274642,15.864434881567956,6.037649097919464,5.559481272339821,7.135062984824181,10.719448956727982,4.109996036052704,3.4483016560077666,10.316189928889274,11.208853101968765,8.769323255538941,9.367345157504081,8.696911417722703,9.537138432383538,3.4707742953300476,3.42083509683609,1.8003081057071686,1.9888285800218581
sub-wrap0012_ses-110922,0.589,0.546,1.387,1.395,3.693,3.5060000000000002,57.938,57.0,13.986,13.341000000000001,224.497,230.26500000000001,4.391,4.142,0.375,0.483,16.999,22.374,1.576,1.614,5.079,5.162,8.239,8.339,5.203,5.746,0.613,0.633,5.216,7.211,5.039,5.2010000000000005,2.871,1.412,8.951,10.963000000000001,3.432,3.107,4.237,4.953,6.11,5.033,2.129,2.739,1.726,1.283,4.312,3.926,9.017,10.456,2.357,1.948,7.43,7.767,13.433,12.06,9.346,9.543000000000001,2.7760000000000002,2.74,6.563,5.155,2.674,2.186,22.203,22.47,5.585,6.984,4.527,5.125,0.989,0.799,3.886,3.174,7.631,6.894,14.616,16.725,2.055,2.066,5.245,4.479,5.272,2.709,1.813,1.301,6.199,5.521,13.132,13.9,3.375,4.483,3.373,3.063,3.468,3.266,12.207,14.133000000000001,3.2600000000000002,3.66,1.699,1.805,14.128,16.528,2.714,2.755,1.368,1.6600000000000001,17.003,17.156,5.899,7.6290000000000004,10.31,9.642,4.126,3.61,12.375,10.921,8.297,9.245000000000001,9.179,8.404,2.709,3.986,1.891,1.7730000000000001
sub-wrap0012_ses-131010,0.555,0.527,1.452,1.3800000000000001,3.665,3.494,59.046,57.445,13.855,13.452,231.909,238.08100000000002,4.32,4.24,0.403,0.5730000000000001,19.481,24.719,1.5330000000000001,1.625,4.987,5.08,8.156,8.276,5.301,5.757000000000001,0.593,0.638,5.257,7.117,4.997,5.274,2.584,1.335,8.132,11.224,3.25,3.09,4.187,4.9590000000000005,6.053,5.0440000000000005,2.111,2.6510000000000002,1.633,1.335,4.126,3.73,8.812,10.4,1.961,1.87,7.503,7.683,13.280000000000001,11.625,9.189,9.577,2.619,2.451,6.724,5.39,2.895,2.204,21.949,22.34,5.792,6.562,4.785,5.13,1.264,0.846,4.019,3.145,7.394,6.7490000000000006,14.536,16.581,1.94,2.16,5.383,4.736,5.381,2.686,1.739,1.2750000000000001,6.091,5.533,13.025,13.805,3.31,4.439,3.17,3.057,3.541,3.313,12.019,14.499,3.176,3.672,1.675,1.7910000000000001,13.845,16.259,2.632,2.763,1.403,1.731,16.886,16.812,6.176,7.829,10.032,9.337,3.999,3.426,12.257,10.438,8.306000000000001,9.273,8.967,8.295,2.545,3.8120000000000003,1.864,1.7890000000000001
sub-wrap0012_ses-150618,0.5630000000000001,0.47200000000000003,1.431,1.3980000000000001,3.564,3.498,58.829,56.986000000000004,13.643,13.467,226.77700000000002,231.693,4.287,4.0280000000000005,0.49,0.627,20.415,26.343,1.466,1.581,4.966,5.106,8.061,8.184000000000001,5.282,5.808,0.581,0.609,5.389,6.949,4.936,5.0920000000000005,2.535,1.375,7.862,10.516,3.1390000000000002,2.982,4.2010000000000005,4.815,5.635,4.908,2.223,2.672,1.5230000000000001,1.243,3.98,3.722,8.803,10.344,2.178,1.907,7.7860000000000005,7.706,13.775,11.635,9.273,9.307,2.669,2.493,6.633,5.14,2.638,2.162,21.714000000000002,21.957,6.106,6.8950000000000005,4.797,5.086,1.046,0.775,3.95,3.152,7.343,6.417,14.35,16.893,2.008,2.082,5.301,4.726,5.42,2.661,1.872,1.395,5.873,5.482,12.883000000000001,13.702,3.37,4.3500000000000005,3.085,2.99,3.314,3.031,12.143,13.974,3.156,3.4010000000000002,1.762,1.694,13.848,16.119,2.73,2.658,1.464,1.667,17.142,16.467,5.972,7.8,10.077,9.452,4.059,3.524,12.057,10.338000000000001,7.965,9.206,9.201,8.075,2.419,3.73,1.869,1.725
sub-wrap0012_ses-160914,0.556,0.489,1.374,1.343,3.5580000000000003,3.399,57.572,57.084,13.654,13.815,235.01,241.99200000000002,4.211,4.037,0.494,0.609,20.398,26.711000000000002,1.466,1.567,4.904,5.085,8.024000000000001,8.091,5.311,5.819,0.577,0.599,5.239,6.954,4.917,5.019,2.501,1.256,7.631,10.359,3.055,2.825,4.144,4.8340000000000005,5.636,4.9110000000000005,2.128,2.662,1.58,1.347,4.228,3.767,8.785,10.319,2.041,1.903,7.640000000000001,7.24,13.572000000000001,11.197000000000001,9.303,9.721,2.89,2.438,6.5600000000000005,5.186,2.734,2.138,21.436,22.385,6.3100000000000005,6.9750000000000005,4.641,5.003,0.96,0.715,4.156,3.113,7.4990000000000006,6.474,13.941,16.427,1.966,2.231,5.575,4.474,5.148,2.646,1.816,1.303,6.003,5.4190000000000005,12.516,13.597,3.305,4.349,2.989,2.964,3.266,3.162,11.862,13.753,3.1350000000000002,3.664,1.693,1.712,13.532,15.622,2.662,2.685,1.438,1.75,17.012,16.606,5.764,7.6160000000000005,9.676,9.308,4.042,3.396,11.948,10.369,7.6160000000000005,8.888,9.097,7.986,2.565,3.489,1.913,1.726
sub-wrap0012_ses-170308,0.552,0.468,1.3860000000000001,1.345,3.467,3.333,56.584,55.722,13.512,12.592,216.26500000000001,214.119,4.333,4.033,0.507,0.744,21.395,28.006,1.473,1.564,4.869,4.884,7.9190000000000005,7.969,5.171,5.6610000000000005,0.548,0.547,5.1610000000000005,6.822,4.892,4.871,2.57,1.436,7.876,11.397,3.1390000000000002,2.8000000000000003,4.337,4.764,5.697,4.753,2.19,2.654,1.691,1.169,3.994,3.1510000000000002,8.602,9.835,2.11,1.7850000000000001,7.832,7.806,13.235,11.513,8.852,9.449,2.876,2.498,6.396,5.245,2.484,1.994,17.774,18.124,5.425,5.7860000000000005,4.529,5.16,0.383,0.81,2.206,1.706,5.907,5.115,14.093,16.404,2.048,1.921,4.9,4.272,5.148,2.59,1.873,1.224,5.931,5.224,11.787,12.144,3.378,4.409,3.045,2.767,3.351,2.9010000000000002,10.396,12.062,3.1430000000000002,3.525,1.705,1.615,11.504,12.857000000000001,2.711,2.438,1.5090000000000001,1.744,10.172,11.08,2.662,3.458,9.74,9.376,3.724,3.239,10.982000000000001,9.112,8.026,8.703,8.902000000000001,7.83,2.465,3.564,1.853,1.677
sub-wrap0012_ses-170907,0.551,0.468,1.416,1.345,3.478,3.345,59.603,55.842,13.873000000000001,12.793000000000001,228.374,224.9,4.299,3.9410000000000003,0.529,0.8,22.125,28.713,1.403,1.549,4.882,4.918,7.884,7.987,5.198,5.686,0.522,0.557,5.109,6.952,4.95,5.009,2.515,1.539,7.3580000000000005,10.077,3.108,2.945,4.065,4.699,5.6850000000000005,4.805,2.128,2.562,1.491,1.199,4.013,3.591,8.785,9.814,2.103,1.825,7.6240000000000006,7.742,13.061,11.467,9.014,9.53,2.8970000000000002,2.478,6.49,5.1530000000000005,2.547,2.091,21.259,21.617,6.101,6.6000000000000005,4.747,5.22,0.9410000000000001,0.722,3.956,3.0300000000000002,7.259,6.417,14.123000000000001,16.469,1.964,1.979,5.257,4.5920000000000005,5.3660000000000005,2.568,1.85,1.2550000000000001,5.804,5.235,12.445,13.075000000000001,3.326,4.4190000000000005,3.055,2.828,3.287,2.851,11.916,13.779,3.125,3.353,1.712,1.668,13.651,16.046,2.617,2.536,1.439,1.75,16.642,16.27,5.7010000000000005,7.5600000000000005,9.937,9.424,3.9050000000000002,3.277,11.872,9.817,7.708,8.94,9.076,7.9510000000000005,2.317,3.584,1.86,1.739
